Date,Month,MRP,ActualPrice,Discount%


01-08-2023,August,127.40,93,27%
02-08-2023,August,127.40,93,27%
03-08-2023,August,127.40,93,27%
04-08-2023,August,127.40,93,27%
05-08-2023,August,116.44,85,27%
06-08-2023,August,116.44,85,27%
07-08-2023,August,116.44,83.84,28%
08-08-2023,August,116.44,54,54%
09-08-2023,August,116.44,54,54%
10-08-2023,August,116.44,57.50,51%
11-08-2023,August,110.96,59.50,46%
12-08-2023,August,105.48,61.50,42%
13-08-2023,August,105.48,63.50,40%
14-08-2023,August,100,65.50,35%
15-08-2023,August,100,67.50,33%
16-08-2023,August,106,69.50,34%
17-08-2023,August,100,71.50,29%
18-08-2023,August,100,71.50,29%
19-08-2023,August,100,73,27%
20-08-2023,August,100,73,27%
21-08-2023,August,100,73,27%
22-08-2023,August,95,69.35,27%
23-08-2023,August,95,69.35,27%
24-08-2023,August,100,71.50,29%
25-08-2023,August,100,71.50,29%
26-08-2023,August,95,69.35,27%
27-08-2023,August,95,69.35,27%
28-08-2023,August,95,69.35,27%
29-08-2023,August,90,65.70,27%
30-08-2023,August,90,65.70,27%
31-08-2023,August,90,65.70,27%
01-09-2023,September,90,65.70,27%
02-09-2023,September,95,69.35,27%
03-09-2023,September,90,65.70,27%
04-09-2023,September,84,61.32,27%
05-09-2023,September,79,57.67,27%
06-09-2023,September,73,53.29,27%
07-09-2023,September,73,53.29,27%
03-10-2023,October,73,47.45,35%

03-10-2023,October,73,47.45,35%
04-10-2023,October,73,47.45,35%
05-10-2023,October,78,48,38%
06-10-2023,October,81,48,41%
07-10-2023,October,81,48,41%
08-10-2023,October,81,48,41%
09-10-2023,October,81,48,41%
22-11-2023,November,95,56,41%
23-11-2023,November,95,56,41%
24-11-2023,November,95,56,41%
25-11-2023,November,95,38,60%
26-11-2023,November,89.04,38,57%
27-11-2023,November,89.04,38,57%
28-11-2023,November,100,50,50%
29-11-2023,November,100,50,50%
30-11-2023,November,103,50,51%
01-12-2023,December,100,50,50%
05-12-2023,December,106,50,53%
14-12-2023,December,111,56,50%
15-12-2023,December,111,56,50%
16-12-2023,December,111,81.03,27%
17-12-2023,December,111,64,42%
18-12-2023,December,111,62,44%
19-12-2023,December,111,62,44%
20-12-2023,December,111,62,44%
