Date,Month,MRP,ActualPrice,Discount%
19-12-2022,December,36.21,27.52,24%

20-12-2022,December,36.21,27.52,24%
21-12-2022,December,38.16,29,24%
22-12-2022,December,38.16,29,24%
23-12-2022,December,39.47,30,24%
24-12-2022,December,48.03,36.50,24%
25-12-2022,December,48.68,37,24%
26-12-2022,December,48.68,37,24%
27-12-2022,December,48.68,37,24%
28-12-2022,December,48.68,37,24%
29-12-2022,December,46.71,35.50,24%
30-12-2022,December,48.36,36.75,24%
31-12-2022,December,46.05,35,24%
01-01-2023,January,46.05,35,24%
02-01-2023,January,46.05,35,24%
03-01-2023,January,46.05,35,24%
04-01-2023,January,48.43,36.81,24%
05-01-2023,January,48.68,37,24%
06-01-2023,January,46.18,35.10,24%
07-01-2023,January,46.30,35.19,24%
