Date,Month,MRP,ActualPrice,Discount%


01-08-2023,August,297.26,155,48%
02-08-2023,August,297.26,217,27%
03-08-2023,August,291.78,164,44%
04-08-2023,August,228.77,146,36%
05-08-2023,August,179.45,131,27%
06-08-2023,August,182.19,130,29%
07-08-2023,August,165.75,112.71,32%
08-08-2023,August,176.71,99,44%
09-08-2023,August,127.40,89,30%
10-08-2023,August,132.88,84,37%
11-08-2023,August,94.52,69,27%
12-08-2023,August,78.08,57,27%
13-08-2023,August,88.58,64.66,27%
14-08-2023,August,98,64,35%
15-08-2023,August,92,65,29%
16-08-2023,August,92,66,28%
17-08-2023,August,94,59,37%
18-08-2023,August,72,52.56,27%
19-08-2023,August,66,45,32%
20-08-2023,August,65,45,31%
21-08-2023,August,68,36,47%
22-08-2023,August,65,40,38%
23-08-2023,August,62,45.26,27%
24-08-2023,August,58,42.34,27%
25-08-2023,August,53,38.69,27%
26-08-2023,August,46,33.58,27%
27-08-2023,August,46,33.58,27%
28-08-2023,August,58,42.34,27%
29-08-2023,August,48,34,29%
30-08-2023,August,46,33.58,27%
31-08-2023,August,46,33.58,27%
01-09-2023,September,40,29.20,27%
02-09-2023,September,40,29.20,27%
03-09-2023,September,40,29.20,27%
04-09-2023,September,40,29.20,27%
05-09-2023,September,39,27,31%
06-09-2023,September,40,28,30%
07-09-2023,September,29,21.17,27%
03-10-2023,October,27,17,37%

03-10-2023,October,25,16.25,35%
04-10-2023,October,25,16.25,35%
05-10-2023,October,28,16,43%
06-10-2023,October,29,16,45%
07-10-2023,October,31,16,48%
08-10-2023,October,38,16,58%
09-10-2023,October,28,16,43%
22-11-2023,November,61,44,28%
23-11-2023,November,58,42.34,27%
24-11-2023,November,59,43,27%
25-11-2023,November,70,43,39%
26-11-2023,November,69.86,46,34%
27-11-2023,November,69.86,49,30%
28-11-2023,November,57,41.61,27%
29-11-2023,November,57,40,30%
30-11-2023,November,61,44.53,27%
01-12-2023,December,57,41.61,27%
05-12-2023,December,54,39.42,27%
14-12-2023,December,44,32.12,27%
15-12-2023,December,36,26.28,27%
16-12-2023,December,36,26.28,27%
17-12-2023,December,33,24,27%
18-12-2023,December,42,24,43%
19-12-2023,December,44,24,45%
20-12-2023,December,53,31,42%
21-12-2023,December,47,34.31,27%
22-12-2023,December,54,39,28%
23-12-2023,December,51,37,27%
24-12-2023,December,51,37,27%
